Gene,Main location,Other location,Expression type,Reliability
ENSG00000142330,Cytoplasm;Mitochondria,,Staining,Uncertain
ENSG00000142405,Nucleus but not nucleoli,,Staining,Non-supportive
ENSG00000142408,Nucleus but not nucleoli,Cytoplasm,Staining,Uncertain
ENSG00000142409,Nucleus,Nucleoli;Mitochondria,Staining,Uncertain
ENSG00000142444,Mitochondria,Nucleus but not nucleoli,Staining,Uncertain
ENSG00000142459,Nucleus but not nucleoli,,Staining,Uncertain
ENSG00000142484,Cytoplasm,Nucleus but not nucleoli,Staining,Uncertain
ENSG00000142494,Cytoskeleton (Intermediate filaments);Aggresome,Nucleus but not nucleoli;Cytoplasm,Staining,Non-supportive
ENSG00000142507,,,Staining,Uncertain
ENSG00000142511,Cytoplasm,,Staining,Non-supportive
ENSG00000142512,Cytoplasm,,Staining,Uncertain
ENSG00000142539,Cytoskeleton (Microtubules),,Staining,Supportive
ENSG00000142546,Nucleus,,Staining,Supportive
ENSG00000142549,Nucleus,Plasma membrane,Staining,Uncertain
ENSG00000142556,Nucleus but not nucleoli;Cytoplasm;Vesicles,,Staining,Uncertain
ENSG00000142599,Mitochondria,Nucleus but not nucleoli,Staining,Supportive
ENSG00000142606,Vesicles,,Staining,Supportive
ENSG00000142609,Cytoplasm,,Staining,Uncertain
ENSG00000142619,Cytoplasm,Nucleus but not nucleoli,Staining,Supportive
ENSG00000142623,Nucleus but not nucleoli,,Staining,Non-supportive
ENSG00000142657,Cytoplasm,Plasma membrane;Mitochondria;Vesicles,Staining,Uncertain
ENSG00000142661,Vesicles,,Staining,Uncertain
ENSG00000142669,Cytoplasm,,Staining,Supportive
ENSG00000142675,Cytoplasm,,Staining,Uncertain
ENSG00000142676,,,Staining,Uncertain
ENSG00000142686,Nucleus,Focal Adhesions,Staining,Uncertain
ENSG00000142687,Nucleus but not nucleoli,,Staining,Uncertain
ENSG00000142700,Cytoplasm;Cytoskeleton (Microtubules),,Staining,Uncertain
ENSG00000142731,Nucleus,Nucleoli,Staining,Non-supportive
ENSG00000142751,Vesicles,,Staining,Uncertain
ENSG00000142765,Nucleus,,Staining,Non-supportive
ENSG00000142784,Vesicles,Centrosome;Focal Adhesions,APE,High
ENSG00000142856,Nucleus but not nucleoli,,Staining,Supportive
ENSG00000142864,Cytoplasm,,Staining,Supportive
ENSG00000142867,Nucleus but not nucleoli,,Staining,Non-supportive
ENSG00000142871,Cytoplasm,Nucleus,Staining,Uncertain
ENSG00000142875,Mitochondria,Nucleus but not nucleoli;Cytoplasm;Centrosome,Staining,Uncertain
ENSG00000142920,Cytoplasm,,Staining,Uncertain
ENSG00000142937,Cytoplasm,,Staining,Supportive
ENSG00000142945,Cytoplasm;Cytoskeleton (Intermediate filaments),Nucleus,Staining,Uncertain
ENSG00000142949,Golgi apparatus,,Staining,Uncertain
ENSG00000142973,,,Staining,Uncertain
ENSG00000143001,Nucleus but not nucleoli,Plasma membrane;Cytoplasm,Staining,Uncertain
ENSG00000143006,Cytoplasm,,Staining,Uncertain
ENSG00000143032,Nucleus but not nucleoli,Cytoplasm,Staining,Uncertain
ENSG00000143061,Nucleus but not nucleoli,Cytoplasm,Staining,Uncertain
ENSG00000143079,Nucleoli;Cytoplasm,,Staining,Uncertain
ENSG00000143105,Nucleus but not nucleoli,,Staining,Non-supportive
ENSG00000143106,Nucleus but not nucleoli;Cytoplasm,,APE,Low
ENSG00000143107,Vesicles;Cytoskeleton (Actin filaments);Cell Junctions,Nucleus but not nucleoli;Plasma membrane,Staining,Uncertain
ENSG00000143110,Nucleus but not nucleoli;Cytoplasm,Nucleoli,Staining,Uncertain
ENSG00000143125,Cytoplasm,,Staining,Uncertain
ENSG00000143126,Cytoplasm,,Staining,Uncertain
ENSG00000143147,Focal Adhesions,,Staining,Uncertain
ENSG00000143149,Plasma membrane;Cytoplasm,,Staining,Supportive
ENSG00000143153,Nucleus but not nucleoli,,Staining,Non-supportive
ENSG00000143155,Nucleus but not nucleoli;Vesicles,,Staining,Uncertain
ENSG00000143156,Nuclear membrane;Vesicles,Nucleus but not nucleoli,Staining,Uncertain
ENSG00000143157,Nucleus but not nucleoli;Vesicles,,Staining,Uncertain
ENSG00000143164,Vesicles,Centrosome,Staining,Non-supportive
ENSG00000143178,Nucleus but not nucleoli,,Staining,Supportive
ENSG00000143183,Nucleus,Cytoplasm,Staining,Non-supportive
ENSG00000143194,Nucleus but not nucleoli;Vesicles,,Staining,Supportive
ENSG00000143195,Nucleus but not nucleoli,,Staining,Uncertain
ENSG00000143199,Cytoplasm,,APE,Low
ENSG00000143207,Nucleus but not nucleoli,Cytoplasm;Centrosome;Focal Adhesions,Staining,Supportive
ENSG00000143222,Nucleus but not nucleoli,Plasma membrane;Cytoplasm,Staining,Uncertain
ENSG00000143224,Cytoplasm;Mitochondria,Vesicles,Staining,Uncertain
ENSG00000143226,Cytoplasm,Nucleus but not nucleoli,Staining,Non-supportive
ENSG00000143248,Cytoplasm,,Staining,Supportive
ENSG00000143256,Cytoplasm,Nucleus;Nucleoli;Golgi apparatus,Staining,Uncertain
ENSG00000143258,Cytoplasm,Nucleus but not nucleoli;Plasma membrane,Staining,Uncertain
ENSG00000143278,Cytoplasm,Plasma membrane;Cytoskeleton (Intermediate filaments),Staining,Uncertain
